order_id,customer_id,order_date,region,ship_mode,order_status
ORD00090,CUST0024,2025-04-15,West,Express,Delivered
ORD00091,CUST0034,2024-10-03,South,Express,Delivered
ORD00092,CUST0047,2024-10-01,North,Standard,Shipped
ORD00093,CUST0006,2024-10-12,South,Standard,Shipped
ORD00094,CUST0037,2025-01-23,North,Standard,Delivered
ORD00095,CUST0021,2024-07-05,South,Standard,Delivered
ORD00096,CUST0017,2024-12-14,North,Same Day,Shipped
ORD00097,CUST0018,2024-01-11,West,Standard,Delivered
ORD00098,CUST0027,2025-05-15,West,Same Day,Delivered
ORD00099,CUST0046,2025-05-17,South,Standard,Delivered
ORD00100,CUST0015,2025-02-18,West,Express,Delivered
ORD00101,CUST0024,2025-04-29,North,Express,Cancelled
ORD00102,CUST0036,2024-12-04,North,Same Day,Delivered
ORD00103,CUST0020,2024-09-14,West,Standard,Shipped
ORD00104,CUST0021,2024-05-02,West,Standard,Delivered
ORD00105,CUST0031,2024-10-10,North,Standard,Shipped
ORD00106,CUST0019,2024-08-20,North,Standard,Delivered
ORD00107,CUST0046,2024-05-09,North,Standard,Cancelled
ORD00108,CUST0036,2024-10-26,West,Same Day,Processing
ORD00109,CUST0032,2024-04-15,East,Same Day,Delivered
ORD00110,CUST0031,2025-03-27,North,Standard,Cancelled
ORD00111,CUST0017,2025-05-04,East,Standard,Delivered
ORD00112,CUST0005,2024-02-24,West,Standard,Shipped
ORD00113,CUST0020,2024-03-28,West,Standard,Delivered
ORD00114,CUST0027,2024-08-19,South,Express,Processing
ORD00115,CUST0020,2025-03-15,North,Same Day,Delivered
ORD00116,CUST0040,2024-04-11,West,Same Day,Delivered
ORD00117,CUST0043,2024-03-24,West,Standard,Delivered
ORD00118,CUST0005,2024-06-09,East,Express,Delivered
ORD00119,CUST0039,2025-04-26,North,Standard,Delivered
ORD00120,CUST0046,2024-10-16,South,Standard,Delivered
ORD00121,CUST0060,2024-09-27,West,Express,Delivered
ORD00122,CUST0015,2024-06-01,North,Standard,Delivered
ORD00123,CUST0011,2024-11-10,North,Express,Delivered
ORD00124,CUST0045,2024-11-07,South,Express,Delivered
ORD00125,CUST0032,2025-03-24,East,Same Day,Delivered
ORD00126,CUST0028,2024-11-26,North,Standard,Delivered
ORD00127,CUST0044,2024-01-22,North,Same Day,Delivered
ORD00128,CUST0049,2024-06-28,South,Same Day,Delivered
ORD00129,CUST0059,2024-10-11,West,Same Day,Delivered
ORD00130,CUST0053,2025-05-18,East,Express,Delivered
ORD00131,CUST0022,2024-11-24,East,Standard,Delivered
ORD00132,CUST0045,2025-05-22,North,Same Day,Processing
ORD00133,CUST0053,2024-02-07,South,Standard,Delivered
ORD00134,CUST0021,2024-04-28,South,Same Day,Shipped
ORD00135,CUST0001,2025-04-18,South,Standard,Delivered
ORD00136,CUST0024,2025-05-25,South,Standard,Delivered
ORD00137,CUST0036,2024-05-14,North,Express,Processing
ORD00138,CUST0032,2024-05-04,East,Same Day,Delivered
ORD00139,CUST0016,2024-06-11,North,Same Day,Delivered
ORD00140,CUST0027,2024-04-05,West,Standard,Delivered
ORD00141,CUST0008,2024-06-06,South,Same Day,Delivered
ORD00142,CUST0046,2024-10-06,South,Express,Cancelled
ORD00143,CUST0016,2025-04-12,West,Express,Delivered
ORD00144,CUST0039,2025-06-04,West,Standard,Delivered
ORD00145,CUST0051,2025-02-28,North,Same Day,Delivered
ORD00146,CUST0001,2024-10-16,North,Same Day,Delivered
ORD00147,CUST0043,2025-05-16,West,Express,Delivered
ORD00148,CUST0023,2024-12-06,South,Express,Processing
ORD00149,CUST0056,2024-07-12,West,Same Day,Delivered
ORD00150,CUST0055,2025-02-24,East,Express,Shipped
ORD00151,CUST0046,2025-01-25,South,Same Day,Shipped
ORD00152,CUST0042,2024-06-04,South,Standard,Delivered
ORD00153,CUST0038,2024-12-05,East,Express,Delivered
ORD00154,CUST0059,2025-04-12,East,Same Day,Delivered
ORD00155,CUST0056,2024-06-07,East,Express,Shipped
ORD00156,CUST0017,2024-12-12,South,Same Day,Delivered
ORD00157,CUST0022,2025-01-24,North,Same Day,Shipped
ORD00158,CUST0049,2025-05-14,East,Same Day,Delivered
ORD00159,CUST0041,2024-10-21,West,Same Day,Delivered
ORD00160,CUST0007,2024-04-12,South,Standard,Delivered
ORD00161,CUST0058,2024-01-30,East,Express,Shipped
ORD00162,CUST0019,2025-01-02,North,Express,Delivered
ORD00163,CUST0034,2025-02-25,West,Standard,Delivered
ORD00164,CUST0040,2025-01-26,West,Express,Processing
ORD00165,CUST0010,2024-08-25,South,Same Day,Delivered
ORD00166,CUST0017,2024-01-10,South,Express,Delivered
ORD00167,CUST0011,2024-03-16,South,Express,Cancelled
ORD00168,CUST0020,2025-03-10,North,Express,Shipped
ORD00169,CUST0013,2025-01-28,South,Standard,Delivered
ORD00170,CUST0037,2025-01-02,North,Same Day,Delivered
ORD00171,CUST0054,2025-02-09,North,Standard,Delivered
ORD00172,CUST0044,2024-02-20,South,Express,Shipped
ORD00173,CUST0015,2024-12-26,West,Same Day,Delivered
ORD00174,CUST0017,2024-05-20,East,Same Day,Delivered
ORD00175,CUST0020,2025-03-27,East,Same Day,Delivered
ORD00176,CUST0009,2024-04-02,North,Express,Shipped
ORD00177,CUST0012,2024-07-24,West,Same Day,Processing
ORD00178,CUST0024,2025-06-27,North,Standard,Delivered
ORD00179,CUST0053,2025-05-08,North,Same Day,Processing
ORD00180,CUST0052,2024-04-27,South,Standard,Delivered
ORD00181,CUST0015,2025-02-10,North,Standard,Shipped
ORD00182,CUST0001,2024-09-27,East,Express,Delivered
ORD00183,CUST0048,2024-09-25,South,Same Day,Processing
ORD00184,CUST0007,2024-08-27,South,Standard,Delivered
ORD00185,CUST0036,2024-12-01,West,Same Day,Delivered
ORD00186,CUST0053,2025-04-20,North,Same Day,Delivered
ORD00187,CUST0009,2024-02-16,East,Express,Cancelled
ORD00188,CUST0008,2024-04-09,West,Same Day,Delivered
ORD00189,CUST0030,2025-01-14,South,Same Day,Shipped
ORD00190,CUST0010,2025-02-28,East,Express,Delivered
ORD00191,CUST0018,2024-02-03,North,Standard,Delivered
ORD00192,CUST0016,2025-01-06,East,Same Day,Delivered
ORD00193,CUST0058,2025-01-02,East,Express,Delivered
ORD00194,CUST0008,2025-04-10,East,Same Day,Delivered
ORD00195,CUST0041,2024-01-22,East,Express,Delivered
ORD00196,CUST0009,2024-07-29,East,Same Day,Delivered
ORD00197,CUST0014,2024-08-26,North,Standard,Shipped
ORD00198,CUST0039,2024-01-03,North,Standard,Cancelled
ORD00199,CUST0035,2024-09-13,West,Standard,Delivered
ORD00200,CUST0002,2024-05-14,East,Express,Shipped
ORD00201,CUST0016,2024-11-27,East,Standard,Delivered
ORD00202,CUST0009,2025-03-07,East,Same Day,Delivered
ORD00203,CUST0029,2025-01-05,East,Express,Delivered
ORD00204,CUST0040,2024-02-14,North,Express,Delivered
ORD00205,CUST0002,2024-03-03,South,Express,Delivered
ORD00206,CUST0007,2025-05-17,South,Standard,Processing
ORD00207,CUST0021,2024-05-31,East,Standard,Delivered
ORD00208,CUST0041,2024-11-28,South,Same Day,Delivered
ORD00209,CUST0030,2025-06-01,South,Standard,Shipped
ORD00210,CUST0008,2024-08-08,South,Express,Processing
ORD00211,CUST0027,2024-12-13,South,Express,Delivered
ORD00212,CUST0007,2024-11-16,South,Express,Delivered
ORD00213,CUST0024,2024-06-05,South,Standard,Delivered
ORD00214,CUST0006,2024-04-05,South,Standard,Shipped
ORD00215,CUST0024,2024-05-13,East,Same Day,Cancelled
ORD00216,CUST0036,2024-12-03,East,Express,Delivered
ORD00217,CUST0043,2025-03-09,East,Express,Delivered
ORD00218,CUST0023,2024-04-16,West,Standard,Delivered
ORD00219,CUST0015,2024-04-20,North,Same Day,Delivered
ORD00220,CUST0049,2024-10-12,West,Express,Shipped
