order_item_id,order_id,product_id,quantity,discount
ITM00219,ORD00089,PRD0025,1,0.05
ITM00220,ORD00090,PRD0021,2,0.2
ITM00221,ORD00090,PRD0010,6,0.05
ITM00222,ORD00090,PRD0016,3,0.05
ITM00223,ORD00091,PRD0023,1,0
ITM00224,ORD00092,PRD0014,3,0.1
ITM00225,ORD00092,PRD0016,2,0
ITM00226,ORD00092,PRD0015,6,0
ITM00227,ORD00092,PRD0007,6,0.2
ITM00228,ORD00093,PRD0013,3,0.1
ITM00229,ORD00093,PRD0005,5,0
ITM00230,ORD00093,PRD0025,3,0
ITM00231,ORD00094,PRD0004,2,0
ITM00232,ORD00094,PRD0009,1,0
ITM00233,ORD00094,PRD0015,4,0.2
ITM00234,ORD00094,PRD0008,5,0.05
ITM00235,ORD00095,PRD0006,5,0.15
ITM00236,ORD00095,PRD0011,3,0
ITM00237,ORD00096,PRD0016,4,0.05
ITM00238,ORD00096,PRD0017,3,0.05
ITM00239,ORD00097,PRD0003,4,0.1
ITM00240,ORD00098,PRD0008,1,0
ITM00241,ORD00098,PRD0007,3,0.05
ITM00242,ORD00098,PRD0019,5,0.2
ITM00243,ORD00098,PRD0012,6,0.15
ITM00244,ORD00099,PRD0010,4,0
ITM00245,ORD00099,PRD0018,3,0.15
ITM00246,ORD00099,PRD0001,3,0.2
ITM00247,ORD00099,PRD0004,4,0
ITM00248,ORD00100,PRD0013,1,0.1
ITM00249,ORD00101,PRD0012,3,0
ITM00250,ORD00101,PRD0018,4,0.1
ITM00251,ORD00102,PRD0025,6,0.1
ITM00252,ORD00102,PRD0018,1,0
ITM00253,ORD00102,PRD0009,1,0.05
ITM00254,ORD00102,PRD0020,3,0.2
ITM00255,ORD00103,PRD0018,2,0
ITM00256,ORD00103,PRD0012,5,0.1
ITM00257,ORD00103,PRD0025,4,0.1
ITM00258,ORD00104,PRD0002,1,0
ITM00259,ORD00105,PRD0026,4,0
ITM00260,ORD00105,PRD0016,5,0.1
ITM00261,ORD00105,PRD0017,2,0
ITM00262,ORD00106,PRD0006,6,0.2
ITM00263,ORD00106,PRD0013,3,0.1
ITM00264,ORD00106,PRD0020,3,0.1
ITM00265,ORD00107,PRD0023,1,0
ITM00266,ORD00107,PRD0019,3,0.15
ITM00267,ORD00107,PRD0010,1,0.05
ITM00268,ORD00107,PRD0016,5,0
ITM00269,ORD00108,PRD0020,4,0
ITM00270,ORD00109,PRD0024,5,0.05
ITM00271,ORD00109,PRD0002,2,0.1
ITM00272,ORD00110,PRD0005,5,0.15
ITM00273,ORD00110,PRD0022,1,0
ITM00274,ORD00110,PRD0008,1,0.05
ITM00275,ORD00110,PRD0002,3,0.05
ITM00276,ORD00111,PRD0014,2,0.05
ITM00277,ORD00111,PRD0023,5,0.2
ITM00278,ORD00112,PRD0024,5,0
ITM00279,ORD00112,PRD0002,5,0
ITM00280,ORD00112,PRD0023,6,0.05
ITM00281,ORD00112,PRD0005,5,0.05
ITM00282,ORD00113,PRD0006,3,0.1
ITM00283,ORD00113,PRD0015,3,0.15
ITM00284,ORD00113,PRD0018,6,0.15
ITM00285,ORD00114,PRD0020,2,0
ITM00286,ORD00114,PRD0016,5,0
ITM00287,ORD00114,PRD0007,2,0
ITM00288,ORD00115,PRD0023,3,0.05
ITM00289,ORD00115,PRD0007,3,0.1
ITM00290,ORD00115,PRD0016,6,0
ITM00291,ORD00116,PRD0004,5,0.05
ITM00292,ORD00116,PRD0019,4,0.2
ITM00293,ORD00116,PRD0022,3,0.2
ITM00294,ORD00117,PRD0010,3,0.15
ITM00295,ORD00117,PRD0002,1,0
ITM00296,ORD00118,PRD0021,2,0
ITM00297,ORD00118,PRD0009,5,0
ITM00298,ORD00118,PRD0024,5,0.15
ITM00299,ORD00118,PRD0016,3,0
ITM00300,ORD00119,PRD0020,6,0.1
ITM00301,ORD00120,PRD0008,6,0.1
ITM00302,ORD00120,PRD0002,2,0.15
ITM00303,ORD00121,PRD0002,4,0
ITM00304,ORD00121,PRD0004,6,0.05
ITM00305,ORD00122,PRD0022,2,0
ITM00306,ORD00123,PRD0014,4,0.05
ITM00307,ORD00123,PRD0021,6,0
ITM00308,ORD00124,PRD0011,1,0.2
ITM00309,ORD00124,PRD0010,1,0.15
ITM00310,ORD00124,PRD0021,5,0
ITM00311,ORD00125,PRD0006,4,0.2
ITM00312,ORD00126,PRD0002,4,0
ITM00313,ORD00126,PRD0013,6,0.2
ITM00314,ORD00127,PRD0002,5,0.1
ITM00315,ORD00127,PRD0001,1,0
ITM00316,ORD00127,PRD0010,3,0.05
ITM00317,ORD00128,PRD0005,2,0.2
ITM00318,ORD00128,PRD0017,1,0
ITM00319,ORD00128,PRD0015,2,0.15
ITM00320,ORD00128,PRD0009,4,0.15
ITM00321,ORD00129,PRD0023,6,0
ITM00322,ORD00129,PRD0006,3,0.1
ITM00323,ORD00129,PRD0001,6,0.2
ITM00324,ORD00130,PRD0006,6,0.05
ITM00325,ORD00130,PRD0020,4,0.1
ITM00326,ORD00131,PRD0003,1,0
ITM00327,ORD00131,PRD0013,2,0.05
ITM00328,ORD00131,PRD0022,3,0
ITM00329,ORD00132,PRD0009,4,0
ITM00330,ORD00133,PRD0025,5,0.15
ITM00331,ORD00133,PRD0009,5,0
ITM00332,ORD00133,PRD0011,3,0.15
ITM00333,ORD00133,PRD0010,3,0.15
ITM00334,ORD00134,PRD0002,1,0.05
ITM00335,ORD00134,PRD0022,3,0
ITM00336,ORD00135,PRD0022,3,0.15
ITM00337,ORD00135,PRD0017,1,0.15
ITM00338,ORD00135,PRD0023,3,0
ITM00339,ORD00135,PRD0025,5,0
ITM00340,ORD00136,PRD0005,2,0.05
ITM00341,ORD00136,PRD0016,6,0.1
ITM00342,ORD00137,PRD0014,4,0.2
ITM00343,ORD00137,PRD0023,5,0.2
ITM00344,ORD00137,PRD0018,6,0.2
ITM00345,ORD00138,PRD0025,6,0.2
ITM00346,ORD00138,PRD0008,5,0.2
ITM00347,ORD00139,PRD0017,4,0.1
ITM00348,ORD00140,PRD0003,1,0.2
ITM00349,ORD00140,PRD0019,5,0.1
ITM00350,ORD00140,PRD0004,2,0.1
ITM00351,ORD00141,PRD0006,5,0.05
ITM00352,ORD00141,PRD0011,1,0.15
ITM00353,ORD00142,PRD0023,4,0
ITM00354,ORD00142,PRD0019,5,0.05
ITM00355,ORD00143,PRD0015,2,0.1
ITM00356,ORD00144,PRD0015,4,0.15
ITM00357,ORD00144,PRD0019,3,0.15
ITM00358,ORD00144,PRD0002,1,0.05
ITM00359,ORD00144,PRD0018,3,0.2
ITM00360,ORD00145,PRD0024,2,0.1
ITM00361,ORD00146,PRD0002,4,0
ITM00362,ORD00147,PRD0018,1,0
ITM00363,ORD00148,PRD0002,2,0.2
ITM00364,ORD00148,PRD0010,6,0.15
ITM00365,ORD00148,PRD0014,6,0.05
ITM00366,ORD00148,PRD0006,3,0.05
ITM00367,ORD00149,PRD0013,2,0.15
ITM00368,ORD00149,PRD0003,3,0
ITM00369,ORD00149,PRD0022,2,0.1
ITM00370,ORD00149,PRD0018,4,0.1
ITM00371,ORD00150,PRD0024,1,0.2
ITM00372,ORD00150,PRD0008,1,0
ITM00373,ORD00151,PRD0022,5,0.05
ITM00374,ORD00151,PRD0024,2,0
ITM00375,ORD00151,PRD0018,4,0
ITM00376,ORD00151,PRD0014,2,0
ITM00377,ORD00152,PRD0024,1,0
ITM00378,ORD00152,PRD0025,6,0.05
ITM00379,ORD00153,PRD0008,2,0
ITM00380,ORD00154,PRD0020,1,0.05
ITM00381,ORD00155,PRD0008,6,0
ITM00382,ORD00156,PRD0015,1,0
ITM00383,ORD00156,PRD0008,5,0
ITM00384,ORD00156,PRD0018,2,0.2
ITM00385,ORD00156,PRD0007,6,0.1
ITM00386,ORD00157,PRD0019,6,0.2
ITM00387,ORD00157,PRD0020,3,0
ITM00388,ORD00157,PRD0025,3,0
ITM00389,ORD00158,PRD0014,3,0
ITM00390,ORD00158,PRD0010,5,0.1
ITM00391,ORD00159,PRD0021,4,0.1
ITM00392,ORD00159,PRD0022,4,0
ITM00393,ORD00160,PRD0021,5,0
ITM00394,ORD00160,PRD0022,6,0.05
ITM00395,ORD00160,PRD0013,4,0
ITM00396,ORD00161,PRD0013,5,0.05
ITM00397,ORD00161,PRD0006,2,0.2
ITM00398,ORD00161,PRD0025,2,0
ITM00399,ORD00162,PRD0026,1,0.1
ITM00400,ORD00162,PRD0015,4,0.05
ITM00401,ORD00163,PRD0013,3,0
ITM00402,ORD00163,PRD0008,3,0.15
ITM00403,ORD00164,PRD0015,3,0
ITM00404,ORD00165,PRD0002,4,0.15
ITM00405,ORD00165,PRD0009,5,0.1
ITM00406,ORD00166,PRD0003,2,0.2
ITM00407,ORD00167,PRD0016,3,0
ITM00408,ORD00167,PRD0007,1,0
ITM00409,ORD00168,PRD0024,6,0.2
ITM00410,ORD00168,PRD0004,4,0
ITM00411,ORD00169,PRD0013,5,0
ITM00412,ORD00169,PRD0008,3,0.05
ITM00413,ORD00170,PRD0018,3,0
ITM00414,ORD00170,PRD0021,5,0.05
ITM00415,ORD00170,PRD0012,4,0
ITM00416,ORD00170,PRD0010,6,0.05
ITM00417,ORD00171,PRD0007,4,0
ITM00418,ORD00171,PRD0012,5,0.2
ITM00419,ORD00171,PRD0011,2,0.15
ITM00420,ORD00172,PRD0001,5,0.1
ITM00421,ORD00172,PRD0009,5,0.15
ITM00422,ORD00173,PRD0010,2,0.05
ITM00423,ORD00173,PRD0005,5,0.2
ITM00424,ORD00173,PRD0007,2,0.05
ITM00425,ORD00173,PRD0011,5,0.15
ITM00426,ORD00174,PRD0009,6,0.15
ITM00427,ORD00174,PRD0025,6,0.05
ITM00428,ORD00174,PRD0016,4,0
ITM00429,ORD00175,PRD0006,5,0.05
ITM00430,ORD00175,PRD0005,2,0.1
ITM00431,ORD00175,PRD0024,6,0
ITM00432,ORD00176,PRD0003,6,0
ITM00433,ORD00177,PRD0014,2,0.2
ITM00434,ORD00178,PRD0003,2,0
ITM00435,ORD00178,PRD0023,2,0.1
ITM00436,ORD00179,PRD0012,6,0.1
ITM00437,ORD00179,PRD0002,4,0.15
ITM00438,ORD00179,PRD0020,4,0
ITM00439,ORD00179,PRD0021,1,0.1
ITM00440,ORD00180,PRD0001,5,0
ITM00441,ORD00180,PRD0017,1,0.1
ITM00442,ORD00180,PRD0024,6,0.15
ITM00443,ORD00180,PRD0009,4,0.2
ITM00444,ORD00181,PRD0004,2,0
ITM00445,ORD00181,PRD0017,2,0.1
ITM00446,ORD00182,PRD0012,4,0
ITM00447,ORD00182,PRD0009,3,0.05
ITM00448,ORD00182,PRD0026,4,0.1
ITM00449,ORD00183,PRD0023,3,0.15
ITM00450,ORD00183,PRD0008,1,0.15
ITM00451,ORD00184,PRD0003,4,0.05
ITM00452,ORD00185,PRD0018,1,0.15
ITM00453,ORD00185,PRD0016,2,0
ITM00454,ORD00185,PRD0002,4,0.2
ITM00455,ORD00185,PRD0021,4,0.15
ITM00456,ORD00186,PRD0019,1,0
ITM00457,ORD00186,PRD0004,2,0.2
ITM00458,ORD00186,PRD0017,6,0.1
ITM00459,ORD00187,PRD0009,3,0.1
ITM00460,ORD00187,PRD0002,5,0.15
ITM00461,ORD00187,PRD0003,1,0
ITM00462,ORD00187,PRD0022,3,0
ITM00463,ORD00188,PRD0019,6,0.2
ITM00464,ORD00188,PRD0005,4,0
ITM00465,ORD00189,PRD0006,5,0.2
ITM00466,ORD00189,PRD0019,4,0.15
ITM00467,ORD00189,PRD0008,5,0
ITM00468,ORD00190,PRD0025,6,0.15
ITM00469,ORD00190,PRD0024,1,0.1
ITM00470,ORD00190,PRD0005,6,0
ITM00471,ORD00190,PRD0026,1,0
ITM00472,ORD00191,PRD0008,5,0.1
ITM00473,ORD00191,PRD0003,4,0.2
ITM00474,ORD00191,PRD0011,3,0
ITM00475,ORD00191,PRD0020,6,0
ITM00476,ORD00192,PRD0016,4,0.05
ITM00477,ORD00192,PRD0008,2,0.15
ITM00478,ORD00192,PRD0012,5,0.15
ITM00479,ORD00192,PRD0018,4,0
ITM00480,ORD00193,PRD0026,1,0
ITM00481,ORD00193,PRD0008,3,0
ITM00482,ORD00193,PRD0023,4,0.15
ITM00483,ORD00194,PRD0024,3,0
ITM00484,ORD00194,PRD0013,1,0
ITM00485,ORD00195,PRD0010,4,0
ITM00486,ORD00196,PRD0004,2,0.05
ITM00487,ORD00196,PRD0005,4,0.1
ITM00488,ORD00196,PRD0003,5,0.1
ITM00489,ORD00197,PRD0004,5,0
ITM00490,ORD00197,PRD0001,5,0.1
ITM00491,ORD00197,PRD0003,3,0.2
ITM00492,ORD00197,PRD0012,4,0
ITM00493,ORD00198,PRD0014,1,0.15
ITM00494,ORD00198,PRD0013,5,0
ITM00495,ORD00198,PRD0025,5,0.1
ITM00496,ORD00199,PRD0022,2,0
ITM00497,ORD00199,PRD0013,3,0
ITM00498,ORD00200,PRD0016,2,0.05
ITM00499,ORD00200,PRD0005,3,0.05
ITM00500,ORD00200,PRD0003,3,0.05
ITM00501,ORD00201,PRD0012,3,0
ITM00502,ORD00202,PRD0020,2,0
ITM00503,ORD00202,PRD0007,1,0.05
ITM00504,ORD00202,PRD0015,3,0.2
ITM00505,ORD00202,PRD0004,5,0.05
ITM00506,ORD00203,PRD0015,6,0.1
ITM00507,ORD00203,PRD0011,2,0
ITM00508,ORD00203,PRD0014,3,0.1
ITM00509,ORD00204,PRD0016,2,0.05
ITM00510,ORD00204,PRD0011,3,0
ITM00511,ORD00205,PRD0019,4,0
ITM00512,ORD00205,PRD0026,4,0
ITM00513,ORD00205,PRD0008,1,0.1
ITM00514,ORD00205,PRD0011,2,0.1
ITM00515,ORD00206,PRD0022,5,0
ITM00516,ORD00206,PRD0025,6,0.05
ITM00517,ORD00207,PRD0015,3,0.2
ITM00518,ORD00207,PRD0026,6,0
ITM00519,ORD00208,PRD0022,3,0
ITM00520,ORD00208,PRD0016,3,0.15
ITM00521,ORD00208,PRD0005,2,0.15
ITM00522,ORD00208,PRD0021,4,0.2
ITM00523,ORD00209,PRD0003,5,0.05
ITM00524,ORD00209,PRD0015,5,0.1
ITM00525,ORD00209,PRD0020,6,0.05
ITM00526,ORD00209,PRD0016,5,0
ITM00527,ORD00210,PRD0023,5,0.15
ITM00528,ORD00210,PRD0026,1,0
ITM00529,ORD00210,PRD0018,2,0.15
ITM00530,ORD00211,PRD0006,1,0.1
ITM00531,ORD00211,PRD0021,6,0.15
ITM00532,ORD00211,PRD0020,6,0.05
ITM00533,ORD00212,PRD0026,1,0
ITM00534,ORD00212,PRD0014,3,0
ITM00535,ORD00212,PRD0004,5,0.15
ITM00536,ORD00213,PRD0015,4,0.05
ITM00537,ORD00213,PRD0012,6,0.1
ITM00538,ORD00214,PRD0012,4,0
ITM00539,ORD00214,PRD0001,3,0.05
ITM00540,ORD00215,PRD0004,6,0
ITM00541,ORD00216,PRD0010,2,0.1
ITM00542,ORD00216,PRD0011,4,0
ITM00543,ORD00216,PRD0015,4,0
ITM00544,ORD00217,PRD0024,1,0
ITM00545,ORD00217,PRD0023,1,0.2
ITM00546,ORD00217,PRD0015,6,0
ITM00547,ORD00217,PRD0011,1,0.2
ITM00548,ORD00218,PRD0021,2,0.15
ITM00549,ORD00218,PRD0004,2,0.1
ITM00550,ORD00218,PRD0022,2,0.1
ITM00551,ORD00219,PRD0011,4,0.05
ITM00552,ORD00219,PRD0018,2,0.2
ITM00553,ORD00220,PRD0021,4,0
ITM00554,ORD00220,PRD0006,6,0.1
ITM00555,ORD00220,PRD0022,2,0.05
ITM00556,ORD00220,PRD0014,5,0.05
